cluster_id,cluster_name,cluster_question_id,question_id,question_text,expected_answer_type,status,related_source_ids,related_paper_titles,note_exists,note_path
C3,"Credit, land speculation, low rates, and capital crowding-out",C3_Q03,C3_Q03,Under what conditions does credit expansion crowd out productive capital rather than crowding it in?,Conditions list,Pending,PDF013; PDF003,"Credit, Land Speculation, and Long-Run Economic Growth; Credit, Land Speculation, and Low-Interest-Rate Policy",true,03_notes/questions/clusters/C3_Q03.md
C3,"Credit, land speculation, low rates, and capital crowding-out",C3_Q04,C3_Q04,How do low interest rates operate when land is an alternative store of value besides money and capital?,Policy mechanism,Pending,PDF013; PDF003,"Credit, Land Speculation, and Long-Run Economic Growth; Credit, Land Speculation, and Low-Interest-Rate Policy",true,03_notes/questions/clusters/C3_Q04.md
C3,"Credit, land speculation, low rates, and capital crowding-out",C3_Q05,C3_Q05,What empirical literature is mobilized on real-estate credit versus manufacturing credit and productivity growth?,Evidence inventory,Pending,PDF013; PDF003,"Credit, Land Speculation, and Long-Run Economic Growth; Credit, Land Speculation, and Low-Interest-Rate Policy",true,03_notes/questions/clusters/C3_Q05.md
C3,"Credit, land speculation, low rates, and capital crowding-out",C3_Q06,C3_Q06,How should the review separate short-run asset booms from long-run growth effects?,Temporal distinction,Pending,PDF013; PDF003,"Credit, Land Speculation, and Long-Run Economic Growth; Credit, Land Speculation, and Low-Interest-Rate Policy",true,03_notes/questions/clusters/C3_Q06.md
C4,"Unbalanced growth, leverage, land bubbles, and overvaluation",C4_Q01,C4_Q01,"What is the conceptual and formal relation between unbalanced growth and land bubbles/overvaluation across PDF008, PDF001, and PDF012?",Cross-paper theorem map,Pending,PDF008; PDF001; PDF012,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; Unbalanced Growth and Land Overvaluation; Land Bubbles Despite Non-Vanishing Rents",true,03_notes/questions/clusters/C4_Q01.md
C4,"Unbalanced growth, leverage, land bubbles, and overvaluation",C4_Q02,C4_Q02,How does the Land Overvaluation Theorem differ from leverage-driven bubble necessity?,Comparative theorem note,Pending,PDF008; PDF001; PDF012,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; Unbalanced Growth and Land Overvaluation; Land Bubbles Despite Non-Vanishing Rents",true,03_notes/questions/clusters/C4_Q02.md
C4,"Unbalanced growth, leverage, land bubbles, and overvaluation",C4_Q03,C4_Q03,"What roles are played by elasticity of substitution, differential productivity growth, and leverage thresholds?",Parameter map,Pending,PDF008; PDF001; PDF012,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; Unbalanced Growth and Land Overvaluation; Land Bubbles Despite Non-Vanishing Rents",true,03_notes/questions/clusters/C4_Q03.md
C4,"Unbalanced growth, leverage, land bubbles, and overvaluation",C4_Q04,C4_Q04,"How should the memo distinguish land overvaluation, rational bubble, asset bubble, and observed housing-price inflation?",Glossary,Pending,PDF008; PDF001; PDF012,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; Unbalanced Growth and Land Overvaluation; Land Bubbles Despite Non-Vanishing Rents",true,03_notes/questions/clusters/C4_Q04.md
C4,"Unbalanced growth, leverage, land bubbles, and overvaluation",C4_Q05,C4_Q05,What does the Toda rent-yield note imply about empirical measures using housing rents instead of pure land rents?,Measurement warning,Pending,PDF008; PDF001; PDF012,"Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; Unbalanced Growth and Land Overvaluation; Land Bubbles Despite Non-Vanishing Rents",true,03_notes/questions/clusters/C4_Q05.md
C5,"Land, R versus G, and infinite debt rollover",C5_Q01,C5_Q01,What is the standard land-economy argument that R>G blocks infinite debt rollover?,Baseline reconstruction,Pending,PDF002; PDF014,"Land and Infinite Debt Rollover; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C5_Q01.md
C5,"Land, R versus G, and infinite debt rollover",C5_Q02,C5_Q02,How does unbalanced growth reopen the possibility of debt rollover in an economy with land?,Mechanism paragraph,Pending,PDF002; PDF014,"Land and Infinite Debt Rollover; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C5_Q02.md
C5,"Land, R versus G, and infinite debt rollover",C5_Q03,C5_Q03,How can land bubbles coexist with Pareto efficiency in these models?,Formal explanation,Pending,PDF002; PDF014,"Land and Infinite Debt Rollover; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C5_Q03.md
C5,"Land, R versus G, and infinite debt rollover",C5_Q04,C5_Q04,What exactly is wrong with applying the Diamond landless rollover intuition to an economy with land?,Critical comparison,Pending,PDF002; PDF014,"Land and Infinite Debt Rollover; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C5_Q04.md
C5,"Land, R versus G, and infinite debt rollover",C5_Q05,C5_Q05,"Which version, PDF002 or PDF014, should be treated as the main source for the final memo?",Version-control note,Pending,PDF002; PDF014,"Land and Infinite Debt Rollover; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C5_Q05.md
C6,"Policy, Henry George, regulation, and Fondecyt translation",C6_Q01,C6_Q01,How can the Henry George policy article be used as the policy-facing synthesis of the whole branch?,Policy synthesis,Pending,PDF001; PDF002; PDF003; PDF004; PDF005; PDF006; PDF007; PDF008; PDF009; PDF010; PDF011; PDF012; PDF013; PDF014,"Unbalanced Growth and Land Overvaluation; Land and Infinite Debt Rollover; Credit, Land Speculation, and Low-Interest-Rate Policy; Growth and Fluctuations Economies with Land Speculation; Henry George, Land Speculation, and Economic Growth and Transformation; The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual; Land Bubbles Despite Non-Vanishing Rents; Credit, Land Speculation, and Long-Run Economic Growth; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C6_Q01.md
C6,"Policy, Henry George, regulation, and Fondecyt translation",C6_Q02,C6_Q02,"What regulatory tools appear across the corpus: land taxation, capital-gains taxation, financial regulation, collateral rules, public investment?",Policy inventory,Pending,PDF001; PDF002; PDF003; PDF004; PDF005; PDF006; PDF007; PDF008; PDF009; PDF010; PDF011; PDF012; PDF013; PDF014,"Unbalanced Growth and Land Overvaluation; Land and Infinite Debt Rollover; Credit, Land Speculation, and Low-Interest-Rate Policy; Growth and Fluctuations Economies with Land Speculation; Henry George, Land Speculation, and Economic Growth and Transformation; The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual; Land Bubbles Despite Non-Vanishing Rents; Credit, Land Speculation, and Long-Run Economic Growth; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C6_Q02.md
C6,"Policy, Henry George, regulation, and Fondecyt translation",C6_Q03,C6_Q03,"What assumptions are too abstract for direct application to Latin America, especially ownership structures, credit systems, urban land-use regimes, and peripheral external constraints?",Critical limitation,Pending,PDF001; PDF002; PDF003; PDF004; PDF005; PDF006; PDF007; PDF008; PDF009; PDF010; PDF011; PDF012; PDF013; PDF014,"Unbalanced Growth and Land Overvaluation; Land and Infinite Debt Rollover; Credit, Land Speculation, and Low-Interest-Rate Policy; Growth and Fluctuations Economies with Land Speculation; Henry George, Land Speculation, and Economic Growth and Transformation; The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual; Land Bubbles Despite Non-Vanishing Rents; Credit, Land Speculation, and Long-Run Economic Growth; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C6_Q03.md
C6,"Policy, Henry George, regulation, and Fondecyt translation",C6_Q04,C6_Q04,"How can the corpus be translated into the project language of land usage, localization rents, and financialization in Latin America?",Fondecyt translation,Pending,PDF001; PDF002; PDF003; PDF004; PDF005; PDF006; PDF007; PDF008; PDF009; PDF010; PDF011; PDF012; PDF013; PDF014,"Unbalanced Growth and Land Overvaluation; Land and Infinite Debt Rollover; Credit, Land Speculation, and Low-Interest-Rate Policy; Growth and Fluctuations Economies with Land Speculation; Henry George, Land Speculation, and Economic Growth and Transformation; The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual; Land Bubbles Despite Non-Vanishing Rents; Credit, Land Speculation, and Long-Run Economic Growth; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C6_Q04.md
C6,"Policy, Henry George, regulation, and Fondecyt translation",C6_Q05,C6_Q05,What alternative theoretical literatures should be added later to avoid a purely neoclassical/OLG framing of land rent?,Gap map,Pending,PDF001; PDF002; PDF003; PDF004; PDF005; PDF006; PDF007; PDF008; PDF009; PDF010; PDF011; PDF012; PDF013; PDF014,"Unbalanced Growth and Land Overvaluation; Land and Infinite Debt Rollover; Credit, Land Speculation, and Low-Interest-Rate Policy; Growth and Fluctuations Economies with Land Speculation; Henry George, Land Speculation, and Economic Growth and Transformation; The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual; Land Bubbles Despite Non-Vanishing Rents; Credit, Land Speculation, and Long-Run Economic Growth; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C6_Q05.md
C6,"Policy, Henry George, regulation, and Fondecyt translation",C6_Q06,C6_Q06,What is the final 5–15 page memo architecture that emerges from these clusters?,Outline request,Pending,PDF001; PDF002; PDF003; PDF004; PDF005; PDF006; PDF007; PDF008; PDF009; PDF010; PDF011; PDF012; PDF013; PDF014,"Unbalanced Growth and Land Overvaluation; Land and Infinite Debt Rollover; Credit, Land Speculation, and Low-Interest-Rate Policy; Growth and Fluctuations Economies with Land Speculation; Henry George, Land Speculation, and Economic Growth and Transformation; The Wobbly Economy: Global Dynamics with Phase and State Transitions; Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions; Leverage, Endogenous Unbalanced Growth, and Asset Price Bubbles; The Measurement of Wealth: Recessions, Sustainability and Inequality; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit; New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual; Land Bubbles Despite Non-Vanishing Rents; Credit, Land Speculation, and Long-Run Economic Growth; Land, G versus R, and Infinite Debt Rollover",true,03_notes/questions/clusters/C6_Q06.md
