claim_id,source_id,question_id,paper_key,page_ref,dimension,concept,definition,mechanism,causal_chain,variables_parameters,theory_evidence_status,claim_text,project_use,validation_status,reviewer_comment,note_path,cluster_id,cluster_question_id,evidence_anchor,quote_or_paraphrase,memo_section_target,confidence
CLM_C1_Q03_003,PDF010,C1_Q03,Stiglitz_2015b,"16, 17, 18 - Key passage(s), paraphrased or short quote only: - ""It is the decision of the banks (the central bank) concerning credit availability that drives the price ...",variables_parameters,land,,real-estate credit amplifies land-price inflation,,P_t; collateral parameter; W,measurement_or_empirical_motivation,"Core claim: Part IV explains the ""wealth residual"" by showing that credit expansion, explicitly secured by land collateral, artificially inflates land prices and measured wealth while contributing nothing to—and po...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit.,03_notes/clusters/C1_Q03.md,C1,C1_Q03,"- Page(s): 16, 17, 18 - Key passage(s), paraphrased or short quote only: - ""It is the decision of the banks (the central bank) concerning credit availability that drives the price ...",paraphrase,3. Conceptual objects,medium
CLM_C1_Q03_004,PDF011,C1_Q03,Stiglitz_2015a,"10, 11, 28 - Key passage(s), paraphrased or short quote only: - ""If these numbers were accurate, the observed increase in wealth income ratios must come from somewhere e...",variables_parameters,land,,land changes R versus G and debt-rollover conditions,,W,measurement_or_empirical_motivation,"Core claim: The wealth residual represents the massive gap between the observed surge in aggregate wealth and the actual, much lower rate of real capital accumulation dictated by national savings data, indicating t...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual.,03_notes/clusters/C1_Q03.md,C1,C1_Q03,"- Page(s): 10, 11, 28 - Key passage(s), paraphrased or short quote only: - ""If these numbers were accurate, the observed increase in wealth income ratios must come from somewhere e...",paraphrase,3. Conceptual objects,medium
CLM_C1_Q04_001,MULTI,C1_Q04,cluster_synthesis,,variables_parameters,land,,,,,model_based_synthesis,1.,land-credit crowding-out,needs_page,"Cluster-level synthesis. Related sources: [""PDF009"", ""PDF010"", ""PDF011""]. C6 all-source inference applies if cluster_id is C6.",03_notes/clusters/C1_Q04.md,C1,C1_Q04,[NOTEBOOKLM_CLUSTER],paraphrase,1. Introduction,low
CLM_C1_Q04_002,PDF009,C1_Q04,Stiglitz_2015c,"1, 2, 4, 11 - Key passage(s), paraphrased or short quote only: - ""if wealth (with a growing population, wealth per capita), appropriately measured, was non-decreasing, t...",causality,land,,land speculation crowds out productive capital,"Core claim: Standard wealth metrics fail to accurately assess economic sustainability because they conflate non-productive asset inflation (like land and capitalized monopoly rents) with true productive capital, wh...",D_t/r_t; K_t; W,measurement_or_empirical_motivation,"Core claim: Standard wealth metrics fail to accurately assess economic sustainability because they conflate non-productive asset inflation (like land and capitalized monopoly rents) with true productive capital, wh...",land-credit crowding-out,validated_paraphrase,"Source-specific row parsed from Phase 2 cluster evidence map for The Measurement of Wealth: Recessions, Sustainability and Inequality.",03_notes/clusters/C1_Q04.md,C1,C1_Q04,"- Page(s): 1, 2, 4, 11 - Key passage(s), paraphrased or short quote only: - ""if wealth (with a growing population, wealth per capita), appropriately measured, was non-decreasing, t...",paraphrase,3. Conceptual objects,medium
CLM_C1_Q04_003,PDF010,C1_Q04,Stiglitz_2015b,"16, 17, 18 - Key passage(s), paraphrased or short quote only: - ""It is the decision of the banks (the central bank) concerning credit availability that drives the price ...",variables_parameters,land,,real-estate credit amplifies land-price inflation,,P_t; collateral parameter; W,measurement_or_empirical_motivation,"Core claim: Part IV explains the ""wealth residual"" by showing that credit expansion, explicitly secured by land collateral, artificially inflates land prices and measured wealth while contributing nothing to—and po...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit.,03_notes/clusters/C1_Q04.md,C1,C1_Q04,"- Page(s): 16, 17, 18 - Key passage(s), paraphrased or short quote only: - ""It is the decision of the banks (the central bank) concerning credit availability that drives the price ...",paraphrase,3. Conceptual objects,medium
CLM_C1_Q04_004,PDF011,C1_Q04,Stiglitz_2015a,"10, 11, 28 - Key passage(s), paraphrased or short quote only: - ""If these numbers were accurate, the observed increase in wealth income ratios must come from somewhere e...",variables_parameters,land,,land changes R versus G and debt-rollover conditions,,W,measurement_or_empirical_motivation,"Core claim: The wealth residual represents the massive gap between the observed surge in aggregate wealth and the actual, much lower rate of real capital accumulation dictated by national savings data, indicating t...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual.,03_notes/clusters/C1_Q04.md,C1,C1_Q04,"- Page(s): 10, 11, 28 - Key passage(s), paraphrased or short quote only: - ""If these numbers were accurate, the observed increase in wealth income ratios must come from somewhere e...",paraphrase,3. Conceptual objects,medium
CLM_C1_Q05_001,MULTI,C1_Q05,cluster_synthesis,,variables_parameters,land,,,,,model_based_synthesis,1.,land-credit crowding-out,needs_page,"Cluster-level synthesis. Related sources: [""PDF009"", ""PDF010"", ""PDF011""]. C6 all-source inference applies if cluster_id is C6.",03_notes/clusters/C1_Q05.md,C1,C1_Q05,[NOTEBOOKLM_CLUSTER],paraphrase,1. Introduction,low
CLM_C1_Q05_002,PDF009,C1_Q05,Stiglitz_2015c,"1, 2, 4, 11 - Key passage(s), paraphrased or short quote only: - ""if wealth (with a growing population, wealth per capita), appropriately measured, was non-decreasing, t...",causality,land,,land speculation crowds out productive capital,"Core claim: Standard wealth metrics fail to accurately assess economic sustainability because they conflate non-productive asset inflation (like land and capitalized monopoly rents) with true productive capital, wh...",D_t/r_t; K_t; W,measurement_or_empirical_motivation,"Core claim: Standard wealth metrics fail to accurately assess economic sustainability because they conflate non-productive asset inflation (like land and capitalized monopoly rents) with true productive capital, wh...",land-credit crowding-out,validated_paraphrase,"Source-specific row parsed from Phase 2 cluster evidence map for The Measurement of Wealth: Recessions, Sustainability and Inequality.",03_notes/clusters/C1_Q05.md,C1,C1_Q05,"- Page(s): 1, 2, 4, 11 - Key passage(s), paraphrased or short quote only: - ""if wealth (with a growing population, wealth per capita), appropriately measured, was non-decreasing, t...",paraphrase,3. Conceptual objects,medium
CLM_C1_Q05_003,PDF010,C1_Q05,Stiglitz_2015b,"16, 17, 18 - Key passage(s), paraphrased or short quote only: - ""It is the decision of the banks (the central bank) concerning credit availability that drives the price ...",variables_parameters,land,,real-estate credit amplifies land-price inflation,,P_t; collateral parameter; W,measurement_or_empirical_motivation,"Core claim: Part IV explains the ""wealth residual"" by showing that credit expansion, explicitly secured by land collateral, artificially inflates land prices and measured wealth while contributing nothing to—and po...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part IV: Land and Credit.,03_notes/clusters/C1_Q05.md,C1,C1_Q05,"- Page(s): 16, 17, 18 - Key passage(s), paraphrased or short quote only: - ""It is the decision of the banks (the central bank) concerning credit availability that drives the price ...",paraphrase,3. Conceptual objects,medium
CLM_C1_Q05_004,PDF011,C1_Q05,Stiglitz_2015a,"10, 11, 28 - Key passage(s), paraphrased or short quote only: - ""If these numbers were accurate, the observed increase in wealth income ratios must come from somewhere e...",variables_parameters,land,,land changes R versus G and debt-rollover conditions,,W,measurement_or_empirical_motivation,"Core claim: The wealth residual represents the massive gap between the observed surge in aggregate wealth and the actual, much lower rate of real capital accumulation dictated by national savings data, indicating t...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for New Theoretical Perspectives on the Distribution of Income and Wealth among Individuals: Part I. The Wealth Residual.,03_notes/clusters/C1_Q05.md,C1,C1_Q05,"- Page(s): 10, 11, 28 - Key passage(s), paraphrased or short quote only: - ""If these numbers were accurate, the observed increase in wealth income ratios must come from somewhere e...",paraphrase,3. Conceptual objects,medium
CLM_C2_Q01_001,MULTI,C2_Q01,cluster_synthesis,,variables_parameters,land,,,,,model_based_synthesis,1.,land-credit crowding-out,needs_page,"Cluster-level synthesis. Related sources: [""PDF006"", ""PDF007"", ""PDF004""]. C6 all-source inference applies if cluster_id is C6.",03_notes/clusters/C2_Q01.md,C2,C2_Q01,[NOTEBOOKLM_CLUSTER],paraphrase,1. Introduction,low
CLM_C2_Q01_002,PDF004,C2_Q01,Hirano_Stiglitz_2025b,"3, 4, 9, 17, 34, 49 - Key passage(s), paraphrased or short quote only: - ""This paper is meant to provide an overview of the research program, providing the simplest mode...",variables_parameters,land,,real-estate credit amplifies land-price inflation,,,measurement_or_empirical_motivation,"Core claim: The paper organizes a four-part theoretical research program demonstrating that market economies are intrinsically prone to expectation-driven instability, and that the presence of land and credit frict...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for Growth and Fluctuations Economies with Land Speculation.,03_notes/clusters/C2_Q01.md,C2,C2_Q01,"- Page(s): 3, 4, 9, 17, 34, 49 - Key passage(s), paraphrased or short quote only: - ""This paper is meant to provide an overview of the research program, providing the simplest mode...",paraphrase,5. Mechanism II,medium
CLM_C2_Q01_003,PDF006,C2_Q01,Hirano_Stiglitz_2022b,"1, 2, 10 - Key passage(s), paraphrased or short quote only: - ""In the Real Business Cycle (RBC) model (or other representative agent models) or the Solow model, there is...",variables_parameters,land,,land changes R versus G and debt-rollover conditions,,,measurement_or_empirical_motivation,"Core claim: Wobbly macro-dynamics describes a rational-expectations economy that infinitely fluctuates without converging or displaying regular periodicity, fundamentally challenging standard RBC and Solow models t...",wobbly dynamics and instability,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for The Wobbly Economy: Global Dynamics with Phase and State Transitions.,03_notes/clusters/C2_Q01.md,C2,C2_Q01,"- Page(s): 1, 2, 10 - Key passage(s), paraphrased or short quote only: - ""In the Real Business Cycle (RBC) model (or other representative agent models) or the Solow model, there is...",paraphrase,8. Wobbly dynamics,medium
CLM_C2_Q01_004,PDF007,C2_Q01,Hirano_Stiglitz_2022a,"7, 24, 46, 47 - Key passage(s), paraphrased or short quote only: - ""Land crowds out productive capital... higher land prices lead to less capital accumulation. That, in ...",causality,land,,land speculation crowds out productive capital,"Core claim: Introducing land as an alternative asset fundamentally alters macroeconomic dynamics by crowding out productive capital, which lowers wages and output while expanding the conditions under which the econ...",K_t,measurement_or_empirical_motivation,"Core claim: Introducing land as an alternative asset fundamentally alters macroeconomic dynamics by crowding out productive capital, which lowers wages and output while expanding the conditions under which the econ...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions.,03_notes/clusters/C2_Q01.md,C2,C2_Q01,"- Page(s): 7, 24, 46, 47 - Key passage(s), paraphrased or short quote only: - ""Land crowds out productive capital... higher land prices lead to less capital accumulation. That, in ...",paraphrase,3. Conceptual objects,medium
CLM_C2_Q02_001,MULTI,C2_Q02,cluster_synthesis,,variables_parameters,land,,land changes R versus G and debt-rollover conditions,,,model_based_synthesis,"Here is the synthesis of how the introduction of land alters the baseline wobbly economy, based on the provided sources: 1.",wobbly dynamics and instability,needs_page,"Cluster-level synthesis. Related sources: [""PDF006"", ""PDF007"", ""PDF004""]. C6 all-source inference applies if cluster_id is C6.",03_notes/clusters/C2_Q02.md,C2,C2_Q02,[NOTEBOOKLM_CLUSTER],paraphrase,8. Wobbly dynamics,low
CLM_C2_Q02_002,PDF004,C2_Q02,Hirano_Stiglitz_2025b,"3, 4, 9, 17, 34, 49 - Key passage(s), paraphrased or short quote only: - ""This paper is meant to provide an overview of the research program, providing the simplest mode...",variables_parameters,land,,real-estate credit amplifies land-price inflation,,,measurement_or_empirical_motivation,"Core claim: The paper organizes a four-part theoretical research program demonstrating that market economies are intrinsically prone to expectation-driven instability, and that the presence of land and credit frict...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for Growth and Fluctuations Economies with Land Speculation.,03_notes/clusters/C2_Q02.md,C2,C2_Q02,"- Page(s): 3, 4, 9, 17, 34, 49 - Key passage(s), paraphrased or short quote only: - ""This paper is meant to provide an overview of the research program, providing the simplest mode...",paraphrase,5. Mechanism II,medium
CLM_C2_Q02_003,PDF006,C2_Q02,Hirano_Stiglitz_2022b,"1, 2, 10 - Key passage(s), paraphrased or short quote only: - ""In the Real Business Cycle (RBC) model (or other representative agent models) or the Solow model, there is...",variables_parameters,land,,land changes R versus G and debt-rollover conditions,,,measurement_or_empirical_motivation,"Core claim: Wobbly macro-dynamics describes a rational-expectations economy that infinitely fluctuates without converging or displaying regular periodicity, fundamentally challenging standard RBC and Solow models t...",wobbly dynamics and instability,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for The Wobbly Economy: Global Dynamics with Phase and State Transitions.,03_notes/clusters/C2_Q02.md,C2,C2_Q02,"- Page(s): 1, 2, 10 - Key passage(s), paraphrased or short quote only: - ""In the Real Business Cycle (RBC) model (or other representative agent models) or the Solow model, there is...",paraphrase,8. Wobbly dynamics,medium
CLM_C2_Q02_004,PDF007,C2_Q02,Hirano_Stiglitz_2022a,"7, 24, 46, 47 - Key passage(s), paraphrased or short quote only: - ""Land crowds out productive capital... higher land prices lead to less capital accumulation. That, in ...",causality,land,,land speculation crowds out productive capital,"Core claim: Introducing land as an alternative asset fundamentally alters macroeconomic dynamics by crowding out productive capital, which lowers wages and output while expanding the conditions under which the econ...",K_t,measurement_or_empirical_motivation,"Core claim: Introducing land as an alternative asset fundamentally alters macroeconomic dynamics by crowding out productive capital, which lowers wages and output while expanding the conditions under which the econ...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions.,03_notes/clusters/C2_Q02.md,C2,C2_Q02,"- Page(s): 7, 24, 46, 47 - Key passage(s), paraphrased or short quote only: - ""Land crowds out productive capital... higher land prices lead to less capital accumulation. That, in ...",paraphrase,3. Conceptual objects,medium
CLM_C2_Q03_001,MULTI,C2_Q03,cluster_synthesis,,variables_parameters,land,,leverage creates land-bubble phase transition,,,model_based_synthesis,Here is a synthesis of the selected sources addressing your question on phase transitions and real-estate dynamics for the Fondecyt project memo: 1.,wobbly dynamics and instability,needs_page,"Cluster-level synthesis. Related sources: [""PDF006"", ""PDF007"", ""PDF004""]. C6 all-source inference applies if cluster_id is C6.",03_notes/clusters/C2_Q03.md,C2,C2_Q03,[NOTEBOOKLM_CLUSTER],paraphrase,1. Introduction,low
CLM_C2_Q03_002,PDF004,C2_Q03,Hirano_Stiglitz_2025b,"3, 4, 9, 17, 34, 49 - Key passage(s), paraphrased or short quote only: - ""This paper is meant to provide an overview of the research program, providing the simplest mode...",variables_parameters,land,,real-estate credit amplifies land-price inflation,,,measurement_or_empirical_motivation,"Core claim: The paper organizes a four-part theoretical research program demonstrating that market economies are intrinsically prone to expectation-driven instability, and that the presence of land and credit frict...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for Growth and Fluctuations Economies with Land Speculation.,03_notes/clusters/C2_Q03.md,C2,C2_Q03,"- Page(s): 3, 4, 9, 17, 34, 49 - Key passage(s), paraphrased or short quote only: - ""This paper is meant to provide an overview of the research program, providing the simplest mode...",paraphrase,5. Mechanism II,medium
CLM_C2_Q03_003,PDF006,C2_Q03,Hirano_Stiglitz_2022b,"1, 2, 10 - Key passage(s), paraphrased or short quote only: - ""In the Real Business Cycle (RBC) model (or other representative agent models) or the Solow model, there is...",variables_parameters,land,,land changes R versus G and debt-rollover conditions,,,measurement_or_empirical_motivation,"Core claim: Wobbly macro-dynamics describes a rational-expectations economy that infinitely fluctuates without converging or displaying regular periodicity, fundamentally challenging standard RBC and Solow models t...",wobbly dynamics and instability,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for The Wobbly Economy: Global Dynamics with Phase and State Transitions.,03_notes/clusters/C2_Q03.md,C2,C2_Q03,"- Page(s): 1, 2, 10 - Key passage(s), paraphrased or short quote only: - ""In the Real Business Cycle (RBC) model (or other representative agent models) or the Solow model, there is...",paraphrase,8. Wobbly dynamics,medium
CLM_C2_Q03_004,PDF007,C2_Q03,Hirano_Stiglitz_2022a,"7, 24, 46, 47 - Key passage(s), paraphrased or short quote only: - ""Land crowds out productive capital... higher land prices lead to less capital accumulation. That, in ...",causality,land,,land speculation crowds out productive capital,"Core claim: Introducing land as an alternative asset fundamentally alters macroeconomic dynamics by crowding out productive capital, which lowers wages and output while expanding the conditions under which the econ...",K_t,measurement_or_empirical_motivation,"Core claim: Introducing land as an alternative asset fundamentally alters macroeconomic dynamics by crowding out productive capital, which lowers wages and output while expanding the conditions under which the econ...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for Land Speculation and Wobbly Dynamics with Endogenous Phase Transitions.,03_notes/clusters/C2_Q03.md,C2,C2_Q03,"- Page(s): 7, 24, 46, 47 - Key passage(s), paraphrased or short quote only: - ""Land crowds out productive capital... higher land prices lead to less capital accumulation. That, in ...",paraphrase,3. Conceptual objects,medium
CLM_C2_Q04_001,MULTI,C2_Q04,cluster_synthesis,,variables_parameters,land,,land speculation crowds out productive capital,,D_t/r_t,model_based_synthesis,"Here is the cluster-level literature synthesis for your Fondecyt project on land-rent financialization, focusing on the dynamic crowding-out effect of land speculation.",Latin American applicability,needs_page,"Cluster-level synthesis. Related sources: [""PDF006"", ""PDF007"", ""PDF004""]. C6 all-source inference applies if cluster_id is C6.",03_notes/clusters/C2_Q04.md,C2,C2_Q04,[NOTEBOOKLM_CLUSTER],paraphrase,4. Mechanism I,low
CLM_C2_Q04_002,PDF004,C2_Q04,Hirano_Stiglitz_2025b,"3, 4, 9, 17, 34, 49 - Key passage(s), paraphrased or short quote only: - ""This paper is meant to provide an overview of the research program, providing the simplest mode...",variables_parameters,land,,real-estate credit amplifies land-price inflation,,,measurement_or_empirical_motivation,"Core claim: The paper organizes a four-part theoretical research program demonstrating that market economies are intrinsically prone to expectation-driven instability, and that the presence of land and credit frict...",land-credit crowding-out,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for Growth and Fluctuations Economies with Land Speculation.,03_notes/clusters/C2_Q04.md,C2,C2_Q04,"- Page(s): 3, 4, 9, 17, 34, 49 - Key passage(s), paraphrased or short quote only: - ""This paper is meant to provide an overview of the research program, providing the simplest mode...",paraphrase,5. Mechanism II,medium
CLM_C2_Q04_003,PDF006,C2_Q04,Hirano_Stiglitz_2022b,"1, 2, 10 - Key passage(s), paraphrased or short quote only: - ""In the Real Business Cycle (RBC) model (or other representative agent models) or the Solow model, there is...",variables_parameters,land,,land changes R versus G and debt-rollover conditions,,,measurement_or_empirical_motivation,"Core claim: Wobbly macro-dynamics describes a rational-expectations economy that infinitely fluctuates without converging or displaying regular periodicity, fundamentally challenging standard RBC and Solow models t...",wobbly dynamics and instability,validated_paraphrase,Source-specific row parsed from Phase 2 cluster evidence map for The Wobbly Economy: Global Dynamics with Phase and State Transitions.,03_notes/clusters/C2_Q04.md,C2,C2_Q04,"- Page(s): 1, 2, 10 - Key passage(s), paraphrased or short quote only: - ""In the Real Business Cycle (RBC) model (or other representative agent models) or the Solow model, there is...",paraphrase,8. Wobbly dynamics,medium
