paragraph_id,section,paragraph_function,core_claim,source_ids,note_ids,claim_ids,concepts,mechanisms,variables_parameters,validation_status,draft_ready,reviewer_comment
P11,Mechanism III: unbalanced growth and the Land Overvaluation Theorem,state theorem/model result,State the Land Overvaluation Theorem and its unbalanced-growth conditions.,PDF001; PDF014,PDF001_Q02; PDF014_Q04; PDF001_Q01,CLM_PDF001_Q02_001; CLM_PDF014_Q04_001; CLM_PDF001_Q01_002; CLM_PDF001_Q01_004; CLM_PDF001_Q01_007; CLM_PDF001_Q02_002,land,unbalanced growth separates land prices from rents; leverage creates land-bubble phase transition,elasticity of substitution; productivity growth; D_t/r_t; r; G; elasticity of substitution; productivity growth; elasticity of substitution; productivity growth; P_t; D_t/r_t,validated_paraphrase,true,Risk of concept conflation: needs exact theorem statement before final prose. Do not draft from unsupported or unpaged claims.
P12,Mechanism III: unbalanced growth and the Land Overvaluation Theorem,specify causal chain,Explain why land prices can separate from rents under unbalanced growth.,MULTI; PDF008,C1_Q02; C4_Q01; C4_Q02; C4_Q03; C4_Q04; C4_Q05,CLM_C1_Q02_001; CLM_C4_Q01_003; CLM_C4_Q02_003; CLM_C4_Q03_003; CLM_C4_Q04_003; CLM_C4_Q05_003,land,unbalanced growth separates land prices from rents; land speculation crowds out productive capital,D_t/r_t; P_t; D_t/r_t; k_{t+1}; W,needs_page; validated_paraphrase,false,Risk of concept conflation: risk of treating overvaluation as irrational bubble. Do not draft from unsupported or unpaged claims.
P13,"Mechanism IV: R versus G, land, and infinite debt rollover",state theorem/model result,Explain how land affects R versus G and debt-rollover conditions.,MULTI; PDF002,C5_Q02; PDF002_Q01; PDF002_Q03,CLM_C5_Q02_001; CLM_PDF002_Q01_001; CLM_PDF002_Q01_003; CLM_PDF002_Q01_005; CLM_PDF002_Q01_007; CLM_PDF002_Q03_001,land,land changes R versus G and debt-rollover conditions; unbalanced growth separates land prices from rents; real-estate credit amplifies land-price inflation,R; productivity growth; D_t/r_t; r; G; R; r; G; elasticity of substitution; productivity growth; P_t,needs_page; validated_paraphrase,false,Risk of concept conflation: symbol meanings must be source-specific. Do not draft from unsupported or unpaged claims.
P14,"Mechanism IV: R versus G, land, and infinite debt rollover",explain mechanism,Connect land speculation and rollover capacity to dynamic efficiency.,PDF011; MULTI,C1_Q01; C1_Q02; C1_Q03; C1_Q04; C1_Q05,CLM_C1_Q01_004; CLM_C1_Q02_004; CLM_C1_Q03_001; CLM_C1_Q03_004; CLM_C1_Q04_004; CLM_C1_Q05_004,land,land changes R versus G and debt-rollover conditions,W,validated_paraphrase; needs_page,false,Risk of concept conflation: risk of policy overreach. Do not draft from unsupported or unpaged claims.
P15,Wobbly dynamics and instability as supplementary branch,explain mechanism,Present wobbly dynamics as supplementary endogenous instability branch.,PDF004; PDF007; PDF006; MULTI,PDF004_Q02; PDF007_Q03; PDF007_Q04; C2_Q01; C2_Q02,CLM_PDF004_Q02_001; CLM_PDF007_Q03_002; CLM_PDF007_Q04_001; CLM_C2_Q01_003; CLM_C2_Q02_001; CLM_C2_Q02_003,land,land changes R versus G and debt-rollover conditions; leverage creates land-bubble phase transition,,validated_paraphrase; needs_page,false,Risk of concept conflation: risk of making it the main framework. Do not draft from unsupported or unpaged claims.
P16,Wobbly dynamics and instability as supplementary branch,specify causal chain,"Explain phase transitions, leverage, and boom-bust paths where supported.",PDF007; MULTI; PDF012,PDF007_Q03; C2_Q03; C2_Q05; C4_Q01; C4_Q02; C4_Q03,CLM_PDF007_Q03_002; CLM_C2_Q03_001; CLM_C2_Q05_001; CLM_C4_Q01_004; CLM_C4_Q02_004; CLM_C4_Q03_004,land,leverage creates land-bubble phase transition,D_t/r_t,validated_paraphrase; needs_page,false,Risk of concept conflation: needs page precision. Do not draft from unsupported or unpaged claims.
P17,"Critical appraisal: assumptions, scope, Latin American transportability",identify limitation,List assumptions that do not automatically travel to Latin America.,PDF002; PDF005; PDF012; PDF013; PDF014; MULTI,PDF002_Q07; PDF005_Q02; PDF012_Q04; PDF013_Q05; PDF014_Q03; C1_Q01,CLM_PDF002_Q07_003; CLM_PDF005_Q02_003; CLM_PDF012_Q04_003; CLM_PDF013_Q05_003; CLM_PDF014_Q03_003; CLM_C1_Q01_001,land,real-estate credit amplifies land-price inflation; land changes R versus G and debt-rollover conditions; unbalanced growth separates land prices from rents; land speculation crowds out productive capital,elasticity of substitution; productivity growth; D_t/r_t; K_t; W,validated_paraphrase; needs_page,false,Risk of concept conflation: translation risk. Do not draft from unsupported or unpaged claims.
P18,"Critical appraisal: assumptions, scope, Latin American transportability",translate to Fondecyt,Identify which mechanisms can be adapted to Latin American land-rent financialization.,MULTI,C1_Q01; C1_Q02; C2_Q04; C4_Q05; C6_Q05; C6_Q06,CLM_C1_Q01_001; CLM_C1_Q02_001; CLM_C2_Q04_001; CLM_C4_Q05_001; CLM_C6_Q05_001; CLM_C6_Q06_001,land,land speculation crowds out productive capital; unbalanced growth separates land prices from rents; land changes R versus G and debt-rollover conditions,D_t/r_t; K_t; W; D_t/r_t,needs_page,false,Risk of concept conflation: do not import external literature yet. Do not draft from unsupported or unpaged claims.
P19,"Research agenda: what the Fondecyt project should retain, modify, or reject",translate to Fondecyt,"State what the project should retain, modify, or reject from the SHT branch.",PDF012,PDF012_Q06,CLM_PDF012_Q06_007,land,leverage creates land-bubble phase transition,,validated_paraphrase,true,Risk of concept conflation: requires supported claims only. Do not draft from unsupported or unpaged claims.
P20,"Research agenda: what the Fondecyt project should retain, modify, or reject",identify limitation,Define later comparator slots for external literature.,,,,,,,needs_page,false,Risk of concept conflation: must remain future-facing. Do not draft from unsupported or unpaged claims.
P21,Conclusion,transition,Conclude the architecture without drafting final memo prose.,MULTI; PDF004,C6_Q06; PDF004_Q01,CLM_C6_Q06_001; CLM_PDF004_Q01_002,land,land changes R versus G and debt-rollover conditions; land speculation crowds out productive capital,,needs_page; validated_paraphrase,false,Risk of concept conflation: avoid final prose. Do not draft from unsupported or unpaged claims.
